stationID,site,study_area,Position,camera,SD,Runtime,start,end,badger,boar,cats,dog,fox,marten,mouseweasel,racoon,allpredators,allpredators_without_dogs,badger_100,boar_100,cats_100,dog_100,fox_100,marten_100,mouseweasel_100,racoon_100,allpredators_100,allpredators_without_dogs_100
D D1 c,D1,D,c,32,51_72,18900,03.08.2020 09:44,26.08.2020 10:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D D1 e,D1,D,e,48,12_60,6307,03.08.2020 09:48,19.08.2020 15:00,0,0,3,0,1,0,0,2,6,6,0,0,68.49532266,0,22.83177422,0,0,45.66354844,136.9906453,136.9906453
D D10 c,D10,D,c,37,2,32780,03.08.2020 15:28,26.08.2020 09:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D D10 e,D10,D,e,24,73,32776,03.08.2020 15:30,26.08.2020 09:46,0,0,1,0,3,0,1,3,8,8,0,0,4.393458628,0,13.18037588,0,4.393458628,13.18037588,35.14766903,35.14766903
D D11 c,D11,D,c,20,54_67.2,24410,04.08.2020 11:42,26.08.2020 10:22,0,0,0,0,1,0,0,0,1,1,0,0,0,0,5.89922163,0,0,0,5.89922163,5.89922163
D D11 e,D11,D,e,33,28.2_16,24684,04.08.2020 11:46,26.08.2020 10:21,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5.833738454,5.833738454,5.833738454
D D12 c,D12,D,c,27,14_61,31744,04.08.2020 10:19,26.08.2020 11:25,0,1,0,0,1,0,0,0,2,2,0,4.536290323,0,0,4.536290323,0,0,0,9.072580645,9.072580645
D D12 e,D12,D,e,44,3xx_22,31734,04.08.2020 10:23,26.08.2020 11:23,1,0,0,0,2,0,0,0,3,3,4.537719796,0,0,0,9.075439592,0,0,0,13.61315939,13.61315939
D D2 c,D2,D,c,5,53_4,24640,03.08.2020 10:23,26.08.2020 11:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D D2 e,D2,D,e,36,32_49,11636,03.08.2020 10:26,22.08.2020 14:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D D3 c,D3,D,c,31,55,33099,03.08.2020 23:06,26.08.2020 22:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D D3 e,D3,D,e,38,52_29,20204,03.08.2020 11:09,26.08.2020 10:41,0,0,0,4,5,0,0,0,9,5,0,0,0,28.5092061,35.63650762,0,0,0,64.14571372,35.63650762
D D4 c,D4,D,c,42,6_45,33072,03.08.2020 11:46,26.08.2020 11:01,0,0,0,0,1,0,0,1,2,2,0,0,0,0,4.35413643,0,0,4.35413643,8.708272859,8.708272859
D D4 e,D4,D,e,12,63_57,33057,03.08.2020 11:53,26.08.2020 10:58,5,0,0,9,1,1,0,0,16,7,21.78056085,0,0,39.20500953,4.35611217,4.35611217,0,0,69.69779472,30.49278519
D D5 c,D5,D,c,23,15_67,21691,04.08.2020 12:12,27.08.2020 10:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D D5 e,D5,D,e,49,44,26013,16.08.2020 12:04,03.09.2020 13:37,0,1,0,0,2,0,0,2,5,5,0,5.535693692,0,0,11.07138738,0,0,11.07138738,27.67846846,27.67846846
D D6 c,D6,D,c,40,65_39,14325,03.08.2020 12:46,23.08.2020 10:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D D6 e,D6,D,e,10,33,32983,03.08.2020 12:50,26.08.2020 10:33,1,3,0,1,6,0,0,0,11,10,4.365885456,13.09765637,0,4.365885456,26.19531274,0,0,0,48.02474002,43.65885456
D D7 c,D7,D,c,14,7_13,32916,03.08.2020 13:47,26.08.2020 10:26,0,0,0,0,2,0,0,0,2,2,0,0,0,0,8.749544295,0,0,0,8.749544295,8.749544295
D D7 e,D7,D,e,35,8,32917,03.08.2020 13:37,26.08.2020 10:14,2,0,1,0,7,0,0,7,17,17,8.749278488,0,4.374639244,0,30.62247471,0,0,30.62247471,74.36886715,74.36886715
D D8 c,D8,D,c,1,43,32869,03.08.2020 14:16,26.08.2020 10:05,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4.381027716,4.381027716,4.381027716
D D8 e,D8,D,e,43,31_70,19888,03.08.2020 14:20,26.08.2020 10:03,0,0,0,1,10,0,0,2,13,12,0,0,0,7.240547064,72.40547064,0,0,14.48109413,94.12711183,86.88656476
D D9 c,D9,D,c,13,36,32826,03.08.2020 14:52,26.08.2020 09:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D D9 e,D9,D,e,21,21_48,14401,03.08.2020 14:54,23.08.2020 15:51,0,0,0,0,1,0,0,0,1,1,0,0,0,0,9.999305604,0,0,0,9.999305604,9.999305604
N N1 c,N1,N,c,11,35,31674,05.08.2020 09:53,27.08.2020 09:47,1,0,0,0,1,0,0,0,2,2,4.54631559,0,0,0,4.54631559,0,0,0,9.09263118,9.09263118
N N1 e,N1,N,e,50,3,31667,05.08.2020 09:55,27.08.2020 09:42,2,0,0,0,6,0,0,0,8,8,9.094641109,0,0,0,27.28392333,0,0,0,36.37856444,36.37856444
N N10 c,N10,N,c,2,41,32880,04.08.2020 15:30,27.08.2020 11:30,1,0,0,0,1,0,0,0,2,2,4.379562044,0,0,0,4.379562044,0,0,0,8.759124088,8.759124088
N N10 e,N10,N,e,7,69_54.2,17240,04.08.2020 15:35,27.08.2020 11:15,0,0,0,0,1,0,0,0,1,1,0,0,0,0,8.352668213,0,0,0,8.352668213,8.352668213
N N11 c,N11,N,c,9,1_12.2,32936,04.08.2020 14:31,27.08.2020 11:29,2,0,0,0,3,0,0,0,5,5,8.744231236,0,0,0,13.11634685,0,0,0,21.86057809,21.86057809
N N11 e,N11,N,e,22,23_6.2,15873,04.08.2020 14:34,27.08.2020 11:29,0,1,0,0,0,0,0,0,1,1,0,9.072009072,0,0,0,0,0,0,9.072009072,9.072009072
N N12 c,N12,N,c,18,30_56,33020,04.08.2020 13:20,27.08.2020 11:40,0,1,0,0,1,0,0,0,2,2,0,4.360993337,0,0,4.360993337,0,0,0,8.721986675,8.721986675
N N12 e,N12,N,e,29,46_63.2,11453,04.08.2020 13:23,23.08.2020 14:09,2,0,0,0,1,0,0,0,3,3,25.14624989,0,0,0,12.57312495,0,0,0,37.71937484,37.71937484
N N2 c,N2,N,c,16,47_40,10722,05.08.2020 10:28,22.08.2020 16:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N N2 e,N2,N,e,47,58_42,14808,05.08.2020 10:33,27.08.2020 09:57,0,0,7,0,4,0,0,0,11,11,0,0,68.0713128,0,38.89789303,0,0,0,106.9692058,106.9692058
N N3 c,N3,N,c,19,9,31616,05.08.2020 11:08,27.08.2020 10:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N N3 e,N3,N,e,39,11_14.2,16033,05.08.2020 11:09,27.08.2020 10:03,4,0,2,0,5,0,0,0,11,11,35.92590283,0,17.96295141,0,44.90737853,0,0,0,98.79623277,98.79623277
N N4 c,N4,N,c,8,66_59,31344,05.08.2020 15:41,27.08.2020 10:11,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,4.594180704,0,4.594180704,4.594180704
N N4 e,N4,N,e,34,24_28,16905,05.08.2020 15:46,27.08.2020 10:11,1,0,0,1,10,0,0,0,12,11,8.518189885,0,0,8.518189885,85.18189885,0,0,0,102.2182786,93.70008873
N N5 c,N5,N,c,46,18,31585,05.08.2020 11:55,27.08.2020 10:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N N5 e,N5,N,e,30,38,31583,05.08.2020 11:56,27.08.2020 10:19,7,0,1,0,3,0,0,0,11,11,31.91590413,0,4.559414875,0,13.67824463,0,0,0,50.15356363,50.15356363
N N6 c,N6,N,c,25,27_7.2,31545,05.08.2020 12:44,27.08.2020 10:31,1,0,0,0,0,0,0,0,1,1,4.564907275,0,0,0,0,0,0,0,4.564907275,4.564907275
N N6 e,N6,N,e,28,34,31545,05.08.2020 12:45,27.08.2020 10:30,1,0,1,0,11,0,0,0,13,13,4.564907275,0,4.564907275,0,50.21398003,0,0,0,59.34379458,59.34379458
N N7 c,N7,N,c,41,25_53.2,26038,05.08.2020 13:24,24.08.2020 10:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N N7 e,N7,N,e,26,50_32.2,17181,05.08.2020 13:26,27.08.2020 10:38,2,9,3,1,1,0,0,0,16,15,16.76270299,75.43216344,25.14405448,8.381351493,8.381351493,0,0,0,134.1016239,125.7202724
N N8 c,N8,N,c,17,26,31472,05.08.2020 14:23,27.08.2020 10:56,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,18.30198271,0,18.30198271,18.30198271
N N8 e,N8,N,e,15,17_65.2,31456,05.08.2020 14:30,27.08.2020 10:55,0,0,0,0,2,0,0,0,2,2,0,0,0,0,9.155645982,0,0,0,9.155645982,9.155645982
N N9 c,N9,N,c,45,5,32769,04.08.2020 16:57,27.08.2020 11:06,0,0,0,0,2,0,0,0,2,2,0,0,0,0,8.788794287,0,0,0,8.788794287,8.788794287
N N9 e,N9,N,e,6,19_31.2,18572,04.08.2020 17:02,27.08.2020 11:04,0,1,0,0,2,0,0,0,3,3,0,7.753607581,0,0,15.50721516,0,0,0,23.26082274,23.26082274
